time_window,service_key,analysis_group,EventId,EventTemplate,Level,occurrence_count,unique_reporter_count,first_log_time,last_log_time,representative_content
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_21,413a7bc4,<*> user <*> userName: <*>,ERROR,1,1,2022-06-14 13:42:59.616000+00:00,2022-06-14 13:42:59.616000+00:00,"Add user error, userName: test"
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_21,7e5a973f,"Add user, userName: <*>",INFO,1,1,2022-06-14 13:42:59.601000+00:00,2022-06-14 13:42:59.601000+00:00,"Add user, userName: test"
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_21,f4943eed,"Register user,User name: <*>",INFO,1,1,2022-06-14 13:42:59.610000+00:00,2022-06-14 13:42:59.610000+00:00,"Register user,User name: test"
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_21,f557c46f,Save User Name <*>,INFO,1,1,2022-06-14 13:42:59.610000+00:00,2022-06-14 13:42:59.610000+00:00,Save User Name id���test
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,183323ec,USER TOKEN: <*>,INFO,1,1,2022-06-14 13:42:33.801000+00:00,2022-06-14 13:42:33.801000+00:00,USER TOKEN: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJhZG1pbiIsInJvbGVzIjpbIlJPTEVfQURNSU4iXSwiaWQiOiI4ZmMxYjIxYi03NzRiLTQ3ZjgtOGU4Zi0yYzU1ZWFjNTdmOWIiLCJpYXQiOjE2NTUyMTQxNTMsImV4cCI6MTY1NTIxNzc1M30.YGuaqpox0uCGqHYpynghMUtcgypIVSn5sWYVGd9Jwqk
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,4761273a,USER ID: <*>,INFO,1,1,2022-06-14 13:42:33.801000+00:00,2022-06-14 13:42:33.801000+00:00,USER ID: 8fc1b21b-774b-47f8-8e8f-2c55eac57f9b
2022-06-14 13:42:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,9721d3fb,<*> user error.User <*> <*> null,ERROR,1,1,2022-06-14 13:42:59.613000+00:00,2022-06-14 13:42:59.613000+00:00,"Save user error.User already exists,UserId: null"
2022-06-14 14:17:00+00:00,train-ticket/ts-auth-service,semantic_cluster_33,5d1a1817,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.IllegalArgumentException: Not enough variable values available to expand '{newContactID'] with root cause,ERROR,1,1,2022-06-14 14:17:29.903000+00:00,2022-06-14 14:17:29.903000+00:00,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.IllegalArgumentException: Not enough variable values available to expand '{newContactID'] with root cause
2022-06-14 14:18:00+00:00,train-ticket/ts-auth-service,semantic_cluster_12,92b74bd5,"[Contacts-Modify-Service][ModifyContacts] Fail.Contacts not found, contactId: <*>",ERROR,1,1,2022-06-14 14:18:28.850000+00:00,2022-06-14 14:18:28.850000+00:00,"[Contacts-Modify-Service][ModifyContacts] Fail.Contacts not found, contactId: c5172ed3-5f21-4b2a-ba4d-36c520156a71"
2022-06-14 14:18:00+00:00,train-ticket/ts-auth-service,semantic_cluster_18,0f2b9cd6,No contacts according to contactsId: <*>,ERROR,1,1,2022-06-14 14:18:28.850000+00:00,2022-06-14 14:18:28.850000+00:00,No contacts according to contactsId: c5172ed3-5f21-4b2a-ba4d-36c520156a71
2022-06-14 14:18:00+00:00,train-ticket/ts-auth-service,semantic_cluster_18,d43a6550,"Response(status=0, msg=No contacts according to contacts id, data=null)",INFO,1,1,2022-06-14 14:18:28.850000+00:00,2022-06-14 14:18:28.850000+00:00,"Response(status=0, msg=No contacts according to contacts id, data=null)"
2022-06-14 14:18:00+00:00,train-ticket/ts-auth-service,semantic_cluster_18,d494c496,[Contacts Service][Modify Contacts] ContactsId: <*>,INFO,1,1,2022-06-14 14:18:28.846000+00:00,2022-06-14 14:18:28.846000+00:00,[Contacts Service][Modify Contacts] ContactsId: c5172ed3-5f21-4b2a-ba4d-36c520156a71
2022-06-14 18:31:30+00:00,train-ticket/ts-auth-service,semantic_cluster_24,35e9ee01,Resolved exception caused by handler execution: org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public org.springframework.http.HttpEntity <*>,WARN,1,1,2022-06-14 18:31:36.448000+00:00,2022-06-14 18:31:36.448000+00:00,"Resolved exception caused by handler execution: org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public org.springframework.http.HttpEntity adminbasic.controller.AdminBasicInfoController.deleteStation(adminbasic.entity.Station,org.springframework.http.HttpHeaders)"
2022-06-14 19:14:30+00:00,train-ticket/ts-auth-service,semantic_cluster_37,0aff3d60,"<*> train,TrainTypeId: <*>",INFO,1,1,2022-06-14 19:14:34.164000+00:00,2022-06-14 19:14:34.164000+00:00,"Delete train,TrainTypeId: 6"
2022-06-14 19:14:30+00:00,train-ticket/ts-auth-service,semantic_cluster_37,667525cc,"<*> train error.Train not found,TrainTypeId: <*>",ERROR,1,1,2022-06-14 19:14:34.167000+00:00,2022-06-14 19:14:34.167000+00:00,"Delete train error.Train not found,TrainTypeId: 6"
2022-06-14 19:21:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,f2177c01,Token expired: {} io.jsonwebtoken.ExpiredJwtException: JWT expired at <*> Current time: <*> a difference of <*> milliseconds. Allowed clock skew: 0 milliseconds.,ERROR,1,1,2022-06-14 19:21:00.958000+00:00,2022-06-14 19:21:00.958000+00:00,"Token expired: {} io.jsonwebtoken.ExpiredJwtException: JWT expired at 2022-06-15T03:20:43Z. Current time: 2022-06-15T03:21:00Z, a difference of 17957 milliseconds.  Allowed clock skew: 0 milliseconds."
2022-06-14 19:21:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,fa7a3678,Login request of username: <*>,INFO,1,1,2022-06-14 19:21:06.576000+00:00,2022-06-14 19:21:06.576000+00:00,Login request of username: admin
