time_window,service_key,analysis_group,log_count,info_count,warn_count,error_count,unique_template_count,unique_reporter_count,error_ratio,warn_ratio
2022-06-14 09:26:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:26:30+00:00,train-ticket/ts-auth-service,semantic_cluster_12,2,1,1,0,2,2,0.0,0.5
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_31,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_33,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:29:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 09:37:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:37:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:37:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 09:48:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,3,3,0,0,1,3,0.0,0.0
2022-06-14 09:48:00+00:00,train-ticket/ts-auth-service,semantic_cluster_11,3,3,0,0,1,3,0.0,0.0
2022-06-14 09:48:00+00:00,train-ticket/ts-auth-service,semantic_cluster_28,6,6,0,0,2,3,0.0,0.0
2022-06-14 09:48:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 09:49:30+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 09:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 09:51:30+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 09:52:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 09:53:30+00:00,train-ticket/ts-auth-service,semantic_cluster_24,2,0,2,0,1,2,0.0,1.0
2022-06-14 09:54:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 09:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 09:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 09:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 10:07:00+00:00,train-ticket/ts-auth-service,semantic_cluster_17,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:07:00+00:00,train-ticket/ts-auth-service,semantic_cluster_19,1,0,1,0,1,1,0.0,1.0
2022-06-14 10:07:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:07:00+00:00,train-ticket/ts-auth-service,semantic_cluster_31,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:07:00+00:00,train-ticket/ts-auth-service,semantic_cluster_33,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:07:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,10,10,0,0,6,10,0.0,0.0
2022-06-14 10:07:30+00:00,train-ticket/ts-auth-service,semantic_cluster_22,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:07:30+00:00,train-ticket/ts-auth-service,semantic_cluster_6,4,4,0,0,3,4,0.0,0.0
2022-06-14 10:11:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:11:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:11:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 10:12:00+00:00,train-ticket/ts-auth-service,semantic_cluster_12,1,0,0,1,1,1,1.0,0.0
2022-06-14 10:12:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:12:00+00:00,train-ticket/ts-auth-service,semantic_cluster_31,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:12:00+00:00,train-ticket/ts-auth-service,semantic_cluster_33,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:12:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,8,8,0,0,6,6,0.0,0.0
2022-06-14 10:20:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:20:00+00:00,train-ticket/ts-auth-service,semantic_cluster_11,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:20:00+00:00,train-ticket/ts-auth-service,semantic_cluster_28,4,4,0,0,2,2,0.0,0.0
2022-06-14 10:20:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,12,12,0,0,4,8,0.0,0.0
2022-06-14 10:27:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:27:00+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:27:00+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 10:27:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 10:27:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:27:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:27:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 10:27:30+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 10:28:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:28:00+00:00,train-ticket/ts-auth-service,semantic_cluster_11,2,2,0,0,1,2,0.0,0.0
2022-06-14 10:28:00+00:00,train-ticket/ts-auth-service,semantic_cluster_28,4,4,0,0,2,2,0.0,0.0
2022-06-14 10:28:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,12,12,0,0,4,8,0.0,0.0
2022-06-14 10:28:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:28:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 10:28:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 10:28:30+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 11:36:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:36:00+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:36:00+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 11:50:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 11:50:30+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 11:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,0,0,1,1,1,1.0,0.0
2022-06-14 11:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_13,3,3,0,0,2,3,0.0,0.0
2022-06-14 11:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_22,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_23,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_33,1,0,0,1,1,1,1.0,0.0
2022-06-14 11:51:00+00:00,train-ticket/ts-auth-service,semantic_cluster_34,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:51:30+00:00,train-ticket/ts-auth-service,semantic_cluster_0,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:51:30+00:00,train-ticket/ts-auth-service,semantic_cluster_11,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:51:30+00:00,train-ticket/ts-auth-service,semantic_cluster_28,2,2,0,0,2,1,0.0,0.0
2022-06-14 11:51:30+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 11:52:30+00:00,train-ticket/ts-auth-service,semantic_cluster_13,3,2,0,1,2,3,0.3333333333333333,0.0
2022-06-14 11:52:30+00:00,train-ticket/ts-auth-service,semantic_cluster_23,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:52:30+00:00,train-ticket/ts-auth-service,semantic_cluster_34,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_13,6,4,0,2,2,6,0.3333333333333333,0.0
2022-06-14 11:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_23,2,2,0,0,1,2,0.0,0.0
2022-06-14 11:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 11:58:30+00:00,train-ticket/ts-auth-service,semantic_cluster_34,2,2,0,0,1,2,0.0,0.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_13,3,3,0,0,2,3,0.0,0.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_22,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_23,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_24,1,0,1,0,1,1,0.0,1.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_34,2,2,0,0,2,2,0.0,0.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_6,6,6,0,0,4,4,0.0,0.0
2022-06-14 11:59:00+00:00,train-ticket/ts-auth-service,semantic_cluster_8,2,2,0,0,2,2,0.0,0.0
2022-06-14 11:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_13,6,5,0,1,3,6,0.16666666666666666,0.0
2022-06-14 11:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_22,1,1,0,0,1,1,0.0,0.0
2022-06-14 11:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_23,2,2,0,0,1,2,0.0,0.0
2022-06-14 11:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_34,3,3,0,0,2,3,0.0,0.0
2022-06-14 11:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_6,12,12,0,0,4,8,0.0,0.0
2022-06-14 11:59:30+00:00,train-ticket/ts-auth-service,semantic_cluster_8,2,2,0,0,2,2,0.0,0.0
2022-06-14 12:00:00+00:00,train-ticket/ts-auth-service,semantic_cluster_13,9,7,0,2,3,9,0.2222222222222222,0.0
2022-06-14 12:00:00+00:00,train-ticket/ts-auth-service,semantic_cluster_22,1,1,0,0,1,1,0.0,0.0
2022-06-14 12:00:00+00:00,train-ticket/ts-auth-service,semantic_cluster_23,3,3,0,0,1,3,0.0,0.0
2022-06-14 12:00:00+00:00,train-ticket/ts-auth-service,semantic_cluster_34,4,4,0,0,2,4,0.0,0.0
2022-06-14 12:00:00+00:00,train-ticket/ts-auth-service,semantic_cluster_8,2,2,0,0,2,2,0.0,0.0
2022-06-14 12:00:30+00:00,train-ticket/ts-auth-service,semantic_cluster_34,1,1,0,0,1,1,0.0,0.0
2022-06-14 12:00:30+00:00,train-ticket/ts-auth-service,semantic_cluster_6,12,12,0,0,4,8,0.0,0.0
2022-06-14 12:00:30+00:00,train-ticket/ts-auth-service,semantic_cluster_8,2,2,0,0,2,2,0.0,0.0
2022-06-14 12:02:30+00:00,train-ticket/ts-auth-service,semantic_cluster_34,1,1,0,0,1,1,0.0,0.0
